,date,gameid
372,20100729,HTLT0
373,20100730,HHOB0
374,20100730,HTSK0
375,20100730,WOSS0
376,20100730,LGLT0
377,20100731,HHOB0
378,20100731,HTSK0
379,20100731,WOSS0
380,20100731,LGLT0
381,20100801,HHOB0
382,20100801,HTSK0
383,20100801,WOSS0
384,20100801,LGLT0
385,20100803,LTOB0
386,20100803,HHWO0
387,20100803,SKSS0
388,20100803,LGHT0
389,20100804,LTOB0
390,20100804,HHWO0
391,20100804,SKSS0
392,20100804,LGHT0
393,20100805,LTOB0
394,20100805,HHWO0
395,20100805,SKSS0
396,20100805,LGHT0
397,20100806,SSLG0
398,20100806,WOSK0
399,20100806,LTHH0
400,20100806,OBHT0
401,20100807,SSLG0
402,20100807,WOSK0
403,20100807,LTHH0
404,20100807,OBHT0
405,20100808,SSLG0
406,20100808,WOSK0
407,20100808,LTHH0
408,20100808,OBHT0
409,20100811,WOOB0
410,20100811,LGSK0
411,20100811,SSLT0
412,20100811,HTHH0
413,20100812,SSLT0
414,20100812,HTHH0
415,20100813,SKOB0
416,20100813,LGWO0
417,20100813,HHSS0
418,20100813,LTHT0
419,20100814,LGWO0
420,20100814,HHSS0
421,20100814,LTHT0
422,20100815,SKOB0
423,20100815,LGWO0
424,20100815,HHSS0
425,20100815,LTHT0
426,20100817,HHLG0
427,20100817,HTWO0
428,20100817,LTSK0
429,20100817,OBSS0
430,20100818,HHLG0
431,20100818,HTWO0
432,20100818,LTSK0
433,20100818,OBSS0
434,20100819,HHLG0
435,20100819,HTWO0
436,20100819,LTSK0
437,20100819,OBSS0
438,20100820,WOLG0
439,20100820,SKHH0
440,20100820,OBLT0
441,20100820,SSHT0
442,20100821,WOLG0
443,20100821,SKHH0
444,20100821,OBLT0
445,20100821,SSHT0
446,20100822,WOLG0
447,20100822,SKHH0
448,20100822,OBLT0
449,20100822,SSHT0
450,20100824,LGOB0
451,20100824,HTLT0
452,20100825,HHOB0
453,20100825,WOSK0
454,20100825,LGHT0
455,20100826,HHWO0
456,20100826,OBSS0
457,20100826,SKHT0
458,20100827,HHWO0
459,20100827,OBLT0
460,20100827,SKHT0
461,20100828,SSLG0
462,20100828,OBHH0
463,20100828,SKLT0
464,20100829,OBHH0
465,20100829,SKLT0
466,20100829,WOHT0
467,20100831,WOLG0
468,20100831,HTSS0
469,20100901,SKOB0
470,20100901,SSWO0
471,20100901,LGLT0
472,20100902,SSHH0
473,20100902,LTHT0
474,20100903,SKOB0
475,20100903,SSHH0
476,20100903,LTHT0
477,20100904,HTOB0
478,20100904,LGSK0
479,20100904,SSLT0
480,20100905,HTOB0
481,20100905,SSLT0
482,20100907,OBSK0
483,20100907,WOLT0
484,20100907,HHHT0
485,20100908,WOOB0
486,20100908,LTSS0
487,20100908,HHHT0
488,20100909,LTLG0
489,20100909,HTWO0
490,20100909,SKHH0
491,20100910,SKHH0
492,20100910,LGSS0
493,20100911,LTOB0
494,20100911,SKHH0
495,20100912,LTOB0
496,20100912,HTSK0
497,20100912,LGSS0
498,20100914,HHLG0
499,20100914,SKLT0
500,20100914,OBHT0
501,20100915,WOHH0
502,20100915,SKLT0
503,20100915,OBHT0
504,20100916,SKLG0
505,20100916,SSHT0
506,20100917,SKLG0
507,20100917,OBWO0
508,20100917,LTHH0
509,20100917,SSHT0
510,20100918,HTLG0
511,20100918,OBWO0
512,20100918,LTHH0
513,20100919,HTLG0
514,20100919,LTHH0
515,20100919,SKSS0
516,20100920,OBWO0
517,20100921,LGSS0
518,20100922,SKOB1
519,20100922,LGWO0
